Kachelname;Aufnahmedatum_DGM;Aufnahmedatum_bDOM;Koordinatenursprung_Rechts;Koordinatenursprung_Hoch;Aufloesung_cm
ndom50_32280_5652_1_nw_2019;2016-01-19;2019-03-30;280000;5652000;50
ndom50_32280_5653_1_nw_2019;2016-01-19;2019-03-30;280000;5653000;50
ndom50_32280_5654_1_nw_2019;2016-01-19;2019-02-27;280000;5654000;50
ndom50_32280_5655_1_nw_2019;2016-01-19;2019-02-27;280000;5655000;50
ndom50_32280_5656_1_nw_2019;2016-01-19;2019-02-27;280000;5656000;50
ndom50_32280_5657_1_nw_2019;2016-01-19;2019-02-27;280000;5657000;50
ndom50_32280_5658_1_nw_2019;2016-01-18;2019-02-27;280000;5658000;50
ndom50_32280_5659_1_nw_2019;2016-01-18;2019-02-27;280000;5659000;50
ndom50_32280_5660_1_nw_2019;2016-01-18;2019-02-27;280000;5660000;50
ndom50_32280_5661_1_nw_2019;2016-01-18;2019-02-27;280000;5661000;50
ndom50_32281_5652_1_nw_2019;2016-01-19;2019-03-30;281000;5652000;50
ndom50_32281_5653_1_nw_2019;2016-01-19;2019-03-30;281000;5653000;50
ndom50_32281_5654_1_nw_2019;2016-01-19;2019-02-27;281000;5654000;50
ndom50_32281_5655_1_nw_2019;2016-01-19;2019-02-27;281000;5655000;50
ndom50_32281_5656_1_nw_2019;2016-01-19;2019-02-27;281000;5656000;50
ndom50_32281_5657_1_nw_2019;2016-01-19;2019-02-27;281000;5657000;50
ndom50_32281_5658_1_nw_2019;2016-01-18;2019-02-27;281000;5658000;50
ndom50_32281_5659_1_nw_2019;2016-01-18;2019-02-27;281000;5659000;50
ndom50_32281_5660_1_nw_2019;2016-01-18;2019-02-27;281000;5660000;50
ndom50_32281_5661_1_nw_2019;2016-01-18;2019-02-27;281000;5661000;50
ndom50_32282_5650_1_nw_2019;2016-01-19;2019-03-30;282000;5650000;50
ndom50_32282_5651_1_nw_2019;2016-01-19;2019-03-30;282000;5651000;50
ndom50_32282_5652_1_nw_2019;2016-01-19;2019-03-30;282000;5652000;50
ndom50_32282_5653_1_nw_2019;2016-01-19;2019-03-30;282000;5653000;50
ndom50_32282_5654_1_nw_2019;2016-01-19;2019-02-27;282000;5654000;50
ndom50_32282_5655_1_nw_2019;2016-01-19;2019-02-27;282000;5655000;50
ndom50_32282_5656_1_nw_2019;2016-01-19;2019-02-27;282000;5656000;50
ndom50_32282_5657_1_nw_2019;2016-01-19;2019-02-27;282000;5657000;50
ndom50_32282_5658_1_nw_2019;2016-01-18;2019-02-27;282000;5658000;50
